Title	URL	Assignees	Status
Add support for new data hash exclusions when update manifests are present	https://github.com/contentauth/c2pa-rs/issues/1479	mauricefisher64	Released
Support BoxHash for TIFF, GIF and other formats	https://github.com/contentauth/c2pa-rs/issues/394	mauricefisher64	In Progress
Bring compressed manifest work forward to the current branch	https://github.com/contentauth/c2pa-rs/issues/1417	mauricefisher64	Todo
Add support to asset handlers to report capabilities	https://github.com/contentauth/c2pa-rs/issues/1416	mauricefisher64	Released
Fix signature check for OCSP responses	https://github.com/contentauth/c2pa-rs/issues/1368	mauricefisher64	In Progress
Update TIFF support to be compatibile with latest spec	https://github.com/contentauth/c2pa-rs/issues/1363	mauricefisher64	In Progress
Support for C2PA 2.2 changes to Box Hash	https://github.com/contentauth/c2pa-rs/issues/1286	mauricefisher64	Released
Support C2PA 2.2 changes to Data Hash assertions	https://github.com/contentauth/c2pa-rs/issues/1285	mauricefisher64	Released
Support C2PA 2.2 BMFF Update Manifest	https://github.com/contentauth/c2pa-rs/issues/1205	mauricefisher64	Released
Support 2.2 TimeStamp logging & timestamp trust support	https://github.com/contentauth/c2pa-rs/issues/1206	mauricefisher64	Released
Fix regression in signature validation	https://github.com/contentauth/c2pa-rs/issues/1015	mauricefisher64	Released
Support remote URLs in 2024 API.	https://github.com/contentauth/c2pa-rs/issues/456	gpeacock	Released
C2PA-rs returns wrong validation code for box hash failure	https://github.com/contentauth/c2pa-rs/issues/328	mauricefisher64	Released
Update openssl create, verify compatibility with OpenSSL 3.x	https://github.com/contentauth/c2pa-rs/issues/350	mauricefisher64	Released
Add support for ARW and NEF	https://github.com/contentauth/c2pa-rs/pull/355	mauricefisher64	Released
Python API 2024 first release	https://github.com/contentauth/c2pa-python/issues/13	gpeacock	Released
Rust API 2024 first release	https://github.com/contentauth/c2pa-rs/issues/384	gpeacock	Released
Review C2PA 2.1 Specification		gpeacock, mauricefisher64	Released
Publish Python API fixes for DVIDS and others	https://github.com/contentauth/c2pa-python/issues/38	gpeacock	Released
Define new Adobe no Gen AI assertion for Fresco.		gpeacock	Released
